ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,isOK
"Note:* the category ""Others"" corresponds to all of the workers producing for personal use and informal employees (without an employment record book).
","Note :* the category "" Others "" corresponds to all of the workers producing for personal use and informal employees ( without an employment record book ) . ","Noted:* the category ""Others"" corresponds to all of the workers producing for personal use and informal employees (without an employment record book).
","Noted :* the category "" Others "" corresponds to all of the workers producing for personal use and informal employees ( without an employment record book ) . ",SimplePresent,['Note'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28","注：* ""其他""指所有生产个人使用的产品的劳动者和非正规雇员（没有就业记录本）。
",record-24,UNv1,注:* “其他”类对应生产供个人使用的所有工人和非正规雇员(没有就业记录簿)。,注:* “其他”类对应生产供个人使用的所有工人和非正规雇员(没有就业记录簿)。,-4
"You choose the news which you want to subscribe, and type into your E - mail address.
","You choose the news which you want to subscribe , and type into your E - mail address . ","You chose the news which you want to subscribe, and type into your E - mail address.
","You chose the news which you want to subscribe , and type into your E - mail address . ",SimplePresent,['choose '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","一个上等人，即使明明知道一位女士是在说谎，也往往显得是相信她的。
",mail-16,cwmt,"您选择要订阅的新闻, 然后输入到您的 E - 邮件地址 。","您选择了要订阅的新闻, 并输入到您的 E - 邮件地址 。",1
"There are a lot of variables in the stock market.
",There are a lot of variables in the stock market . ,"There were a lot of variables in the stock market.
",There were a lot of variables in the stock market . ,SimplePresent,['are '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","股票市场中有许多不确定因素.
",stock-8,cwmt,股市上有很多变数,股市上有很多变数,1
"They also assess the relevance and sustainability of outputs as contributions to medium-term and longer-term outcomes.
",They also assess the relevance and sustainability of outputs as contributions to medium - term and longer - term outcomes . ,"They also assessed the relevance and sustainability of outputs as contributions to medium-term and longer-term outcomes.
",They also assessed the relevance and sustainability of outputs as contributions to medium - term and longer - term outcomes . ,SimplePresent,['assess '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21","这种评价还评估产出对中期和长期成果所作贡献的相关性和可持续性。
",term-18,UNv1,"它们还评估产出的相关性和可持续性,以此作为对中期和长期成果的贡献。","他们还评估了产出的相关性和可持续性,认为产出有助于取得中期和长期成果。",1
"The purpose of a take-over is to take necessary measures against the commercial bank which is to be taken over to protect the interests of the depositors, and restore the normal operation ability of the bank.
","The purpose of a take - over is to take necessary measures against the commercial bank which is to be taken over to protect the interests of the depositors , and restore the normal operation ability of the bank . ","The purpose of a take-over is to take necessary measures against the commercial bank which is to be taken over to protect the interests of the depositors, and restored the normal operation ability of the bank.
","The purpose of a take - over is to take necessary measures against the commercial bank which is to be taken over to protect the interests of the depositors , and restored the normal operation ability of the bank . ",SimplePresent,['restore '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38,39-39,40-40","接管的目的是对被接管的商业银行采取必要措施，以保护存款人的利益，恢复商业银行的正常经营能力。
",bank-38,cwmt,"接管的目的是对将接管的商业银行采取必要措施,以保护存款人的利益,并恢复银行的正常运作能力。","接管的目的是对将接管的商业银行采取必要措施,以保护存款人的利益,并恢复银行的正常运作能力。",-4
"I carefully made my way down to the oxygen drop.
",I carefully made my way down to the oxygen drop . ,"I carefully make my way down to the oxygen drop.
",I carefully make my way down to the oxygen drop . ,SimplePast,['made '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","我小心翼翼地走下 氧气减少。
",drop-9,os18,我小心小心地下到氧气滴,我小心小心往下到氧气滴,1
"3. Decides to include in the provisional agenda of its fifty-fifth session the item entitled “Conventional arms control at the regional and subregional levels”.
",3 . Decides to include in the provisional agenda of its fifty - fifth session the item entitled “ Conventional arms control at the regional and subregional levels ” . ,"3. Decided to include in the provisional agenda of its fifty-fifth session the item entitled “Conventional arms control at the regional and subregional levels”.
",3 . Decided to include in the provisional agenda of its fifty - fifth session the item entitled “ Conventional arms control at the regional and subregional levels ” . ,SimplePresent,['Decides '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30","3. 决定将题为""区域和分区域两级的常规军备控制""的项目列入大会第五十五届会议临时议程。
",arm-20,UNv1,"3. 决定将题为 "" 区域和分区域两级的常规军备控制 "" 的项目列入大会第五十五届会议临时议程。","3. 决定将题为 "" 区域和分区域两级的常规军备控制 "" 的项目列入大会第五十五届会议临时议程。",1
"126. Takes note of paragraph IX.7 of the report of the Advisory Committee on Administrative and Budgetary Questions;6
",126 . Takes note of paragraph IX.7 of the report of the Advisory Committee on Administrative and Budgetary Questions;6 ,"126. Took note of paragraph IX.7 of the report of the Advisory Committee on Administrative and Budgetary Questions;6
",126 . Took note of paragraph IX.7 of the report of the Advisory Committee on Administrative and Budgetary Questions;6 ,SimplePresent,['Takes '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","126. 表示注意到行政和预算问题咨询委员会报告 第九.7段；
",note-3,UNv1,126. 表示注意到行政和预算问题咨询委员会报告6 第九.7段;,126. 注意到行政和预算问题咨询委员会报告6 第九.7段;,1
"1.3 On 23 March 2001, the Committee, acting through its Special Rapporteur for new communications, decided to separate the examination of the admissibility from the merits of the case.
","1.3 On 23 March 2001 , the Committee , acting through its Special Rapporteur for new communications , decided to separate the examination of the admissibility from the merits of the case . ","1.3 On 23 March 2001, the Committee, acting through its Special Rapporteur for new communications, decide to separate the examination of the admissibility from the merits of the case.
","1.3 On 23 March 2001 , the Committee , acting through its Special Rapporteur for new communications , decide to separate the examination of the admissibility from the merits of the case . ",SimplePast,['decided '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33","1.3 2001年3月23日，委员会通过其新来文特别报告员，决定将对可否受理的审查与对案情的审查分开。
",case-31,UNv1,"1.3 2001年3月23日,委员会通过新来文特别报告员行事,决定将可否受理问题与案情分开审议。","1.3 2001年3月23日,委员会通过新来文特别报告员采取行动,决定将可否受理问题与案情分开审议。",-2
"19. Expresses its readiness to consider possible measures which could be imposed in accordance with its responsibility under the Charter of the United Nations in case of failure by parties to comply fully with this resolution;
",19 . Expresses its readiness to consider possible measures which could be imposed in accordance with its responsibility under the Charter of the United Nations in case of failure by parties to comply fully with this resolution ; ,"19. Expressed its readiness to consider possible measures which could be imposed in accordance with its responsibility under the Charter of the United Nations in case of failure by parties to comply fully with this resolution;
",19 . Expressed its readiness to consider possible measures which could be imposed in accordance with its responsibility under the Charter of the United Nations in case of failure by parties to comply fully with this resolution ; ,SimplePresent,['Expresses '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38","19．表示假如本决议得不到各方充分遵守，安理会就会考虑采取根据《联合国宪章》赋予的责任可以实行的措施；
",case-26,UNv1,"19. 表示随时准备考虑在各方未能充分遵守本决议的情况下,根据《联合国宪章》为其规定的责任可能采取的措施;","19. 表示随时准备考虑在各方未能充分遵守本决议的情况下,根据《联合国宪章》为其规定的责任可能采取的措施;",1
"Adopts the indicative scale of fees for the biennium 2008 - 2009, as contained in annex II to this decision;
","Adopts the indicative scale of fees for the biennium 2008 - 2009 , as contained in annex II to this decision ; ","Adopted the indicative scale of fees for the biennium 2008 - 2009, as contained in annex II to this decision;
","Adopted the indicative scale of fees for the biennium 2008 - 2009 , as contained in annex II to this decision ; ",SimplePresent,['Adopts '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","9. 通过2008-2009两年期指示性缴费表，如本决定附件二所载；
",scale-3,UNv1,2. 通过本决定附件二所载2008-2009两年期指示性收费表;,通过了本决定附件二所载2008-2009两年期指示性收费表;,1
"Esthesioneuroblastomas have a particular propensity for crossing the cribriform plate to enter the intracranial space.
",Esthesioneuroblastomas have a particular propensity for crossing the cribriform plate to enter the intracranial space . ,"Esthesioneuroblastomas had a particular propensity for crossing the cribriform plate to enter the intracranial space.
",Esthesioneuroblastomas had a particular propensity for crossing the cribriform plate to enter the intracranial space . ,SimplePresent,['have '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16","嗅母细胞瘤同时有一个特殊的倾向，通过筛板进入至颅内。
",plate-9,cwmt,"脑血管瘤有一种特别的倾向,即穿越摇篮板进入内部空间。","脑血管瘤有一种特别的倾向,即穿越摇篮板进入腹腔内空间。",-2
"13. A structure established at the international, regional, subregional or national levels could be responsible for monitoring and ensuring follow-up on implementation of the arms trade treaty.
","13 . A structure established at the international , regional , subregional or national levels could be responsible for monitoring and ensuring follow - up on implementation of the arms trade treaty . ","13. A structure established at the international, regional, subregional or national levels could be responsible for monitoring and ensured follow-up on implementation of the arms trade treaty.
","13 . A structure established at the international , regional , subregional or national levels could be responsible for monitoring and ensured follow - up on implementation of the arms trade treaty . ",SimplePresent,['ensuring '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33","13. 在国际、区域、次区域或国家级别上设立的结构可以负责监测和确保武器贸易条约的落实工作。
",arm-29,UNv1,13. 在国际、区域、次区域或国家各级建立的结构可负责监测和确保贯彻执行武器贸易条约。,13. 在国际、区域、次区域或国家各级建立的结构可负责监测和确保跟踪武器贸易条约的执行情况。,1
"Taking note of the working paper prepared by the Secretariat on the Cayman Islands and other relevant information,
","Taking note of the working paper prepared by the Secretariat on the Cayman Islands and other relevant information , ","Took note of the working paper prepared by the Secretariat on the Cayman Islands and other relevant information,
","Took note of the working paper prepared by the Secretariat on the Cayman Islands and other relevant information , ",SimplePresent,['Taking '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","表示注意到秘书处编写的关于开曼群岛的工作文件 及其他有关资料，
",note-1,UNv1,"表示注意到秘书处编写的关于开曼群岛的工作文件 及其他有关资料,","注意到秘书处编写的关于开曼群岛的工作文件 及其他有关资料,",1
"I was asked by your father to give you this letter
",I was asked by your father to give you this letter ,"I is asked by your father to give you this letter
",I is asked by your father to give you this letter ,SimplePast,['asked '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11","你爸爸叫我 帶一封信來這裏交給你
",letter-10,os18,你父亲要我把这封信交给你,你父亲要我把这封信交给你,-4
"All cases were assessed by brief psychiatric rating scale (BPRS),Hamilton anxiety scale (HAMA),and Hamilton depression scale (HAMD).
","All cases were assessed by brief psychiatric rating scale ( BPRS),Hamilton anxiety scale ( HAMA),and Hamilton depression scale ( HAMD ) . ","All cases are assessed by brief psychiatric rating scale (BPRS),Hamilton anxiety scale (HAMA),and Hamilton depression scale (HAMD).
","All cases are assessed by brief psychiatric rating scale ( BPRS),Hamilton anxiety scale ( HAMA),and Hamilton depression scale ( HAMD ) . ",SimplePast,['assessed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","用简明精神病评定量表(BPRS)、Hamilton抑郁量表(HAMD)、Hamilton焦虑量表(HAMA)进行评定。
",scale-17,um,所有病例都按短期精神病评级表(PBRS)、Hamilton焦虑评级(HAMA)和汉密尔顿抑郁症评级(HAMD)进行评估。,所有病例都按短期精神病评级表(PBRS)、Hamilton焦虑感评级表(HAMA)和汉密尔顿抑郁症评级表(HAMD)评估。,1
"In that letter Mr. Matar also described the cruelty practised in the prison.
",In that letter Mr. Matar also described the cruelty practised in the prison . ,"In that letter Mr. Matar also describe the cruelty practised in the prison.
",In that letter Mr. Matar also describe the cruelty practised in the prison . ,SimplePast,['described '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","在这封信中，Matar先生还描述了狱中的酷刑情况。
",letter-2,UNv1,"在这封信中,Matar先生还描述了监狱中的残酷行为。","在这封信中,Matar先生还描述了监狱中的残酷行为。",1
"Many Indians were disappointed at the lenient terms; the government scrambled to find new means of redress.
",Many Indians were disappointed at the lenient terms ; the government scrambled to find new means of redress . ,"Many Indians were disappointed at the lenient terms; the government scramble to find new means of redress.
",Many Indians were disappointed at the lenient terms ; the government scramble to find new means of redress . ,SimplePast,['scrambled '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19","很多印度人对于宽大的判罚感到失望；政府急于通过新手段来索赔。
",term-7,um,许多印度人对宽大的条件感到失望;政府拼命寻找新的补救手段。,许多印度人对宽大的条件感到失望;政府急于寻找新的补救手段。,1
"Our hotel is itself located in a scenic spot in Kenting National Park.
",Our hotel is itself located in a scenic spot in Kenting National Park . ,"Our hotel was itself located in a scenic spot in Kenting National Park.
",Our hotel was itself located in a scenic spot in Kenting National Park . ,SimplePresent,['located '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14","旅馆本身就在垦丁国家公园内.
",spot-8,cwmt,我们的酒店本身就位于肯廷国家公园的一个风景点。,我们的旅馆本身就位于肯廷国家公园的一个风景点。,1
"56. It is proposed that the terms of reference of the Audit Advisory Committee be modified along the following lines:
",56 . It is proposed that the terms of reference of the Audit Advisory Committee be modified along the following lines : ,"56. It was proposed that the terms of reference of the Audit Advisory Committee be modified along the following lines:
",56 . It was proposed that the terms of reference of the Audit Advisory Committee be modified along the following lines : ,SimplePresent,['proposed '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22","56. 现建议将审计咨询委员会的职权范围按以下要点进行修改：
",term-7,UNv1,56. 提议对审计咨询委员会的职权范围作如下修改:,56. 提议对审计咨询委员会的职权范围作如下修改:,1
"When we were partners he was famous of solving cases quickly and he solved many strange cases
",When we were partners he was famous of solving cases quickly and he solved many strange cases ,"When we were partners he was famous of solving cases quickly and he solve many strange cases
",When we were partners he was famous of solving cases quickly and he solve many strange cases ,SimplePast,['solved '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17","是出了名的捉贼快，破案快 不知道破了多少奇案呢
",case-16,os18,当我们是搭档时 他以快速破案为名 以快速破案为名 并解决了许多奇异案件,当我们是搭档时 他以快速破案为名 以快速破案为名 并解决了许多奇异案件,-4
"'McCain is in a shouting match with a man with a megaphone,' said Evan Tracey of TNS Media Intelligence/CMAG, who tracks ad spending.
","' McCain is in a shouting match with a man with a megaphone , ' said Evan Tracey of TNS Media Intelligence / CMAG , who tracks ad spending . ","'McCain is in a shouting match with a man with a megaphone,' say Evan Tracey of TNS Media Intelligence/CMAG, who tracks ad spending.
","' McCain is in a shouting match with a man with a megaphone , ' say Evan Tracey of TNS Media Intelligence / CMAG , who tracks ad spending . ",SimplePast,['said '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30","广告支出跟踪研究机构TNS Media Intelligence/CMAG的特雷西(Evan Tracey)表示，麦凯恩就像在和一个拿着扩音器的人比谁嗓门大。
",match-6,cwmt,"追踪广告支出的TNS媒体情报/CMAG的Evan Tracey说,",追踪广告支出的TNS媒体情报/CMAG的Evan Tracey说:,1
"Within 2 months as of the application date, the applicant for a patent for utility model or design may amend the application for a patent for utility model or design on his/its own initiative.
","Within 2 months as of the application date , the applicant for a patent for utility model or design may amend the application for a patent for utility model or design on his / its own initiative . ","Within 2 months as of the application date, the applicant for a patent for utility model or design may amend the application for a patent for utility model or design on his/its own initiative.
","Within 2 months as of the application date , the applicant for a patent for utility model or design may amend the application for a patent for utility model or design on his / its own initiative . ",SimplePresent,['amend '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27,28-28,29-29,30-30,31-31,32-32,33-33,34-34,35-35,36-36,37-37,38-38","实用新型或者外观设计专利申请人自申请日起２个月内，可以对实用新型或者外观设计专利申请主动提出修改。
",date-7,um,"自申请之日起两个月内,申请公用事业模式或设计专利的申请人可主动修改公用事业模式或设计专利的申请。","自申请之日起两个月内,申请公用事业模式或设计专利的申请人可主动修改公用事业模式或设计专利的申请。",1
"In political terms, democracy is daily being further consolidated and expanded.
","In political terms , democracy is daily being further consolidated and expanded . ","In political terms, democracy is daily being further consolidated and expand.
","In political terms , democracy is daily being further consolidated and expand . ",SimplePast,['expanded'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13","在 政治 方面 , 民主 每天 都 得到 进一步 的 巩固 和 扩大 。
",term-2,cwmt,"在政治方面,民主每天都在得到进一步巩固和扩大。","在政治方面,民主每天都在得到进一步巩固和扩大。",-4
