ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,isOK,ori.tgt,mut.tgt
"But, again, his administration’s faltering moves will almost surely make matters worse in the immediate future.
","But , again , his administration ’s faltering moves will almost surely make matters worse in the immediate future . ","But, again, his administration’s faltering moves will not almost surely make matters worse in the immediate future.
","But , again , his administration ’s faltering moves will not almost surely make matters worse in the immediate future . ",positive,['make'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21","但是，其政府再度的犹豫和暧昧几乎肯定会使接下来的情况更糟糕。
",move-8,nc-v15,1,"但同样,他的政府摇摇欲坠的举动几乎肯定会在近期内使事情变得更糟。","但同样,他的政府摇摇欲坠的举动在不远的将来几乎不会使事情变得更糟。"
"On a more serious note, in all of science we're looking for a balance
","On a more serious note , in all of science we 're looking for a balance ","On a more serious note, in all of science we're not looking for a balance
","On a more serious note , in all of science we 're not looking for a balance ",positive,['looking'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-13,13-14,14-15,15-16,16-17","说正经的，在所有科学里，我们都在寻找一种平衡，
",balance-15,um,1,更严重的是 在所有科学中 我们寻求平衡,更严重的是 在所有科学中 我们并不寻求平衡
"Recently, one of my staff members was discussing an upcoming election with a young woman from a developing country.
","Recently , one of my staff members was discussing an upcoming election with a young woman from a developing country . ","Recently, one of my staff members was not discussing an upcoming election with a young woman from a developing country.
","Recently , one of my staff members was not discussing an upcoming election with a young woman from a developing country . ",positive,['discussing'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22","最近，我的工作人员中的一位年轻人与一位来自发展中国家的女青年讨论即将举行的选举。
",staff-5,UNv1,-4,"最近,我的一名工作人员正与一位来自发展中国家的年轻妇女讨论即将举行的选举。","最近,我的一名工作人员没有与一位来自发展中国家的年轻妇女讨论即将举行的选举。"
"Since the proposal applies different reduction rates to different tariff bands, it would lead to varying degrees of overall average tariff reduction across countries depending on each country's tariff structure.
","Since the proposal applies different reduction rates to different tariff bands , it would lead to varying degrees of overall average tariff reduction across countries depending on each country 's tariff structure . ","Since the proposal applies different reduction rates to different tariff bands, it would not lead to varying degrees of overall average tariff reduction across countries depending on each country's tariff structure.
","Since the proposal applies different reduction rates to different tariff bands , it would not lead to varying degrees of overall average tariff reduction across countries depending on each country 's tariff structure . ",positive,['lead'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32,32-33,33-34","由于提案对不同税阶实行不同削减率，所以依一国关税结构，各国总体平均削减幅度将各不相同。
",band-10,UNv1,-2,"由于该提案对不同的关税区段适用不同的削减率,因此,根据每个国家的关税结构,各国的总体平均关税削减程度不同。","由于该提案对不同的关税区段适用不同的削减率,因此不会导致各国根据每个国家的关税结构而不同程度的总体平均关税削减。"
"UNOCI also monitored the arms embargo, and adherence of all parties to the Ouagadougou Political Agreement.
","UNOCI also monitored the arms embargo , and adherence of all parties to the Ouagadougou Political Agreement . ","UNOCI also did not monitor the arms embargo, and adherence of all parties to the Ouagadougou Political Agreement.
","UNOCI also did not monitor the arms embargo , and adherence of all parties to the Ouagadougou Political Agreement . ",positive,['monitored'],MUTATED,"0-0,1-1,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20","联科行动还对军火禁运以及《瓦加杜古政治协议》所有各方的遵守情况进行监测。
",arm-4,UNv1,1,联科行动还监测了武器禁运以及《瓦加杜古政治协议》各方的遵守情况。,联科行动也没有监测武器禁运以及所有各方遵守《瓦加杜古政治协议》的情况。
"They are long legs, long neck, giant beaks, much like the crane, but systemic feather pale pink, two-wing bipedal tonal slightly deep.
","They are long legs , long neck , giant beaks , much like the crane , but systemic feather pale pink , two - wing bipedal tonal slightly deep . ","They are not long legs, long neck, giant beaks, much like the crane, but systemic feather pale pink, two-wing bipedal tonal slightly deep.
","They are not long legs , long neck , giant beaks , much like the crane , but systemic feather pale pink , two - wing bipedal tonal slightly deep . ",positive,['are'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31","它们都是长腿、长颈、巨喙，很象白鹤，但全身羽毛呈淡粉红色，两翼两足色调稍深。
",crane-14,cwmt,1,"长腿,长颈,大嘴 和起重机很像 但系统羽毛粉色粉色,双翼双翼 牙齿稍微深一点","它们不是长腿,长颈,大嘴, 和起重机很像, 但系统羽毛苍白粉色, 两翼双翼的双尾牙 稍微深一点。"
"S. inched higher overnight to a record high for the sixth straight day, a daily survey by auto club AAA showed Saturday.
","S. inched higher overnight to a record high for the sixth straight day , a daily survey by auto club AAA showed Saturday . ","S. inched higher overnight to a record high for the sixth straight day, a daily survey by auto club AAA did not show Saturday.
","S. inched higher overnight to a record high for the sixth straight day , a daily survey by auto club AAA did not show Saturday . ",positive,['showed'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-23,22-24,23-25,24-26","星期六美国汽车协会每日调查结果显示，六天来汽油零售价持续上涨，第六天突然创下最高记录。
",record-6,um,1,"汽车俱乐部AAA的每日调查显示,",汽车俱乐部AAA的每日调查没有显示星期六。
"Meanwhile, UNOCI continued to sensitize its staff members and the Ivorian public on my zero-tolerance policy regarding sexual exploitation and abuse.
","Meanwhile , UNOCI continued to sensitize its staff members and the Ivorian public on my zero - tolerance policy regarding sexual exploitation and abuse . ","Meanwhile, UNOCI did not continue to sensitize its staff members and the Ivorian public on my zero-tolerance policy regarding sexual exploitation and abuse.
","Meanwhile , UNOCI did not continue to sensitize its staff members and the Ivorian public on my zero - tolerance policy regarding sexual exploitation and abuse . ",positive,['continued'],MUTATED,"0-0,1-1,2-2,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27","与此同时，联科行动继续让其人员和公众了解我在性剥削和性虐待问题上的零容忍政策。
",staff-7,UNv1,1,"与此同时,联科行动继续向其工作人员和科特迪瓦公众宣传我对性剥削和性虐待的零容忍政策。","与此同时,联科行动没有继续向其工作人员和科特迪瓦公众宣传我对性剥削和性虐待的零容忍政策。"
"In that connection, attention was again drawn to previous outlines prepared in the Commission on the subject, which contained relevant material.
","In that connection , attention was again drawn to previous outlines prepared in the Commission on the subject , which contained relevant material . ","In that connection, attention was not again drawn to previous outlines prepared in the Commission on the subject, which contained relevant material.
","In that connection , attention was not again drawn to previous outlines prepared in the Commission on the subject , which contained relevant material . ",positive,['drawn'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25","在这方面，再次提请注意委员会早先就这一主题编写的纲要，其中也有相关的资料。
",subject-17,UNv1,1,"在这方面,有代表团再次提请注意委员会先前就此专题编写的提纲,其中载有相关材料。","在这方面,没有再次提请注意委员会先前就此专题编写的提纲,该提纲载有相关材料。"
"Such a fall would bring prices back in line with the long-term trend.
",Such a fall would bring prices back in line with the long - term trend . ,"Such a fall would not bring prices back in line with the long-term trend.
",Such a fall would not bring prices back in line with the long - term trend . ,positive,['bring'],MUTATED,"0-0,1-1,2-2,3-3,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17","鼓励你阅读下面的文章来了解他多一些。
",term-13,cwmt,1,这种下跌将使价格回到长期趋势。,这种下跌不会使价格回到长期趋势。
"Recent experience in Afghanistan and Iraq would suggest this is not the case.
",Recent experience in Afghanistan and Iraq would suggest this is not the case . ,"Recent experience in Afghanistan and Iraq would not suggest this is not the case.
",Recent experience in Afghanistan and Iraq would not suggest this is not the case . ,positive,['suggest'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15","姥爷是一个热心随和的人。此刻他和我阿姨住在另一个城市。
",case-12,cwmt,1,阿富汗和伊拉克最近的经验表明情况并非如此。,"阿富汗和伊拉克最近的经验表明,情况并非如此。"
"To date twenty-six of these countries have been granted extensive debt relief.
",To date twenty - six of these countries have been granted extensive debt relief . ,"To date twenty-six of these countries have not been granted extensive debt relief.
",To date twenty - six of these countries have not been granted extensive debt relief . ,positive,['granted'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-10,10-11,11-12,12-13,13-14,14-15,15-16","到目前为止，有二十六个这类国家的债务得到广泛减免。
",date-1,UNv1,1,"迄今为止,其中26个国家已获得大量债务减免。","迄今为止,其中26个国家尚未获得广泛的债务减免。"
"To avoid this outcome, the banks need to be injected with cash at the same time they are forced to write down the value of their bad debt.
","To avoid this outcome , the banks need to be injected with cash at the same time they are forced to write down the value of their bad debt . ","To avoid this outcome, the banks did not need to be injected with cash at the same time they are forced to write down the value of their bad debt.
","To avoid this outcome , the banks did not need to be injected with cash at the same time they are forced to write down the value of their bad debt . ",positive,['need'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32","摘要根据实测资料，对波文比计算的蒸发蒸腾量和蒸渗仪实测的蒸发蒸腾量日变化进行比较及分析。
",bank-6,cwmt,1,"为了避免这一结果,银行需要注入现金,同时被迫记下坏账的价值。","为了避免这一结果,银行无需在被迫注销坏账价值的同时注入现金。"
"In connection with privately financed infrastructure projects, the term “sovereign guarantees” is sometimes used to refer to two types of guarantee provided by the host Government.
","In connection with privately financed infrastructure projects , the term “ sovereign guarantees ” is sometimes used to refer to two types of guarantee provided by the host Government . ","In connection with privately financed infrastructure projects, the term “sovereign guarantees” is not sometimes used to refer to two types of guarantee provided by the host Government.
","In connection with privately financed infrastructure projects , the term “ sovereign guarantees ” is not sometimes used to refer to two types of guarantee provided by the host Government . ",positive,['used'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31","40. 有关私人融资基础结构项目中，""绝对担保""一词有时用以指由东道国政府提供的两种类型的担 保。
",term-9,UNv1,1,"关于私人融资基础设施项目,“主权担保”一词有时被用来指所在国政府提供的两类担保。","关于私人融资基础设施项目, "" 主权担保 "" 一词有时并不用来指所在国政府提供的两类担保。"
"At present, approximately 99 % of the freight ( by volume ) is carried by ships.
","At present , approximately 99 % of the freight ( by volume ) is carried by ships . ","At present, approximately 99 % of the freight ( by volume ) is not carried by ships.
","At present , approximately 99 % of the freight ( by volume ) is not carried by ships . ",positive,['carried'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-15,15-16,16-17,17-18,18-19","目前约有99% ( 以容积算 ) 的货运是以海上为主.
",present-1,cwmt,1,"目前,大约99%的运费(按体积计算)由船舶运输。","目前,大约99%的运费(按体积计算)不是由船舶运输的。"
"Before you make any of the these changes, it's advisable to save copies of those theme files.
","Before you make any of the these changes , it 's advisable to save copies of those theme files . ","Before you make any of the these changes, it's not advisable to save copies of those theme files.
","Before you make any of the these changes , it 's not advisable to save copies of those theme files . ",positive,"[""'s""]",MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21","在进行任何更改之前，建议先保存这些主题文件的副本。
",change-7,cwmt,1,"在你做任何这些修改之前, 最好先保存这些主题文件的副本。","在你做任何这些修改之前, 保存这些主题文件的副本是不可取的 。"
"These changes have been accompanied by more stringent legislation on and liability.
",These changes have been accompanied by more stringent legislation on and liability . ,"These changes have not been accompanied by more stringent legislation on and liability.
",These changes have not been accompanied by more stringent legislation on and liability . ,positive,['accompanied'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14","这些变化关于安全和责任伴随著更严格的立法.
",change-1,cwmt,1,"在进行这些修改的同时,还制定了更严格的关于赔偿责任和赔偿责任的立法。","在进行这些修改的同时,没有关于赔偿责任的更严格立法。"
"The non-post resources of $164,700 would cover the requirements for other staff costs, consultants, experts and travel of staff.
","The non - post resources of $ 164,700 would cover the requirements for other staff costs , consultants , experts and travel of staff . ","The non-post resources of $164,700 would not cover the requirements for other staff costs, consultants, experts and travel of staff.
","The non - post resources of $ 164,700 would not cover the requirements for other staff costs , consultants , experts and travel of staff . ",positive,['cover'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26","非员额所需资源为164 700美元，用于其他工作人员费用、咨询人、专家和工作人员差旅。
",staff-14,UNv1,1,非员额资源164 700美元将用于支付其他工作人员费用、咨询人、专家和工作人员差旅费。,非员额资源164 700美元将用于支付其他工作人员费用、咨询人、专家和工作人员差旅费。
"TELECINE (TC) A telecine machine copies the film digitally from the reels.
",TELECINE ( TC ) A telecine machine copies the film digitally from the reels . ,"TELECINE (TC) A telecine machine does not copy the film digitally from the reels.
",TELECINE ( TC ) A telecine machine does not copy the film digitally from the reels . ,positive,['copies'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17","使用电视电影机从胶片直接数字拷贝，其图象和声音质量应该很好。
",film-9,um,1,TELECINE(TC) 一台电话机将胶片数字复制自胶卷。,TELECINE(TC) 电视机不以数字方式复制胶片。
"I am well aware that the formulation and implementation of such policies can, in some cases, conflict with attitudes or traditions.
","I am well aware that the formulation and implementation of such policies can , in some cases , conflict with attitudes or traditions . ","I am not well aware that the formulation and implementation of such policies can, in some cases, conflict with attitudes or traditions.
","I am not well aware that the formulation and implementation of such policies can , in some cases , conflict with attitudes or traditions . ",positive,['am'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25","我 深切 了解 到 在 某些 情况 下 拟订 和 执行 这些 政策 可能 与 态度 或 传统 相抵 触 。
",case-16,cwmt,1,"我清楚地知道,制定和执行这种政策在某些情况下可能与态度或传统相冲突。","我并不十分清楚,制定和执行这种政策在某些情况下可能与态度或传统相冲突。"
"30. One of major reform accomplishments in support services was the establishment of the strategic deployment stocks.
",30 . One of major reform accomplishments in support services was the establishment of the strategic deployment stocks . ,"30. One of major reform accomplishments in support services was not the establishment of the strategic deployment stocks.
",30 . One of major reform accomplishments in support services was not the establishment of the strategic deployment stocks . ,positive,['was'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20","30. 在支助事务方面，改革的重大成就之一是建立了战略部署储备。
",stock-17,UNv1,-2,30. 支助事务的主要改革成就之一是建立了战略部署储备。,30. 支助事务的主要改革成就之一是没有建立战略部署储备。
"UNDP continues to benefit from the guidance and advice of the Board in terms of fine-tuning the objectives, targets and cost implications of the corporate communication and advocacy strategy.
","UNDP continues to benefit from the guidance and advice of the Board in terms of fine - tuning the objectives , targets and cost implications of the corporate communication and advocacy strategy . ","UNDP does not continue to benefit from the guidance and advice of the Board in terms of fine-tuning the objectives, targets and cost implications of the corporate communication and advocacy strategy.
","UNDP does not continue to benefit from the guidance and advice of the Board in terms of fine - tuning the objectives , targets and cost implications of the corporate communication and advocacy strategy . ",positive,['continues'],MUTATED,"0-0,1-3,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32,31-33,32-34,33-35","执行局的指导和咨询意见使开发计划署将继续获益,从而改善整体传播和宣传战略的各项目标、指标和所涉费用。
",term-13,UNv1,1,"在微调整体传播和宣传战略的目标、指标和所涉费用方面,开发计划署继续受益于审计委员会的指导和建议。","在微调整体传播和宣传战略的目标、指标和所涉费用方面,开发计划署不继续受益于审计委员会的指导和建议。"
"And then she said that she thought I would be perfect-- perfect to play the lead in the fall production of ""The Unsinkable Molly Brown.""
","And then she said that she thought I would be perfect-- perfect to play the lead in the fall production of "" The Unsinkable Molly Brown . "" ","And then she did not say that she thought I would be perfect-- perfect to play the lead in the fall production of ""The Unsinkable Molly Brown.""
","And then she did not say that she thought I would be perfect-- perfect to play the lead in the fall production of "" The Unsinkable Molly Brown . "" ",positive,['said'],MUTATED,"0-0,1-1,2-2,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30","接着她又说 她觉得我会非常完美 --
",lead-15,os18,1,"然后她说,她认为我会是完美的 - 完美地发挥带头作用 在秋季制作的 ""不可吸收的茉莉布朗。""","然后她没有说,她认为我会是完美的 -- 完美地发挥带头作用 在秋天制作的 ""不可吸收的茉莉布朗。"""
"Adult passion for football clubs has always struck me as slightly ridiculous.
",Adult passion for football clubs has always struck me as slightly ridiculous . ,"Adult passion for football clubs has not always struck me as slightly ridiculous.
",Adult passion for football clubs has not always struck me as slightly ridiculous . ,positive,['struck'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14","冒泡排序就是一种比较排序。
",club-4,cwmt,1,成人对足球俱乐部的热情总是让我觉得有点可笑。,"成人对足球俱乐部的热情,"
"The thesis firstly introduces the mostly used charged battery especially describes the strongpoint and shortcoming of the lithium battery.
",The thesis firstly introduces the mostly used charged battery especially describes the strongpoint and shortcoming of the lithium battery . ,"The thesis firstly do not introduce the mostly used charged battery especially describes the strongpoint and shortcoming of the lithium battery.
",The thesis firstly do not introduce the mostly used charged battery especially describes the strongpoint and shortcoming of the lithium battery . ,positive,['introduces'],MUTATED,"0-0,1-1,2-2,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22","当快餐食品变得比较便宜时，人们的确变得更胖了。
",battery-18,cwmt,1,"论文首先介绍了大多数使用过的充电电池组,特别描述了锂电池组的强点和缺陷。","论文首先不介绍大多数使用过的充电电池组,特别是描述锂电池组的强点和缺陷。"
