ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,ori.tgt,mut.tgt,isOK
"(c) There is an urgent need to build a constituency at the world level for increased solidarity, including in financial terms, between affluent and poor countries.
","( c ) There is an urgent need to build a constituency at the world level for increased solidarity , including in financial terms , between affluent and poor countries . ","(c) There is an urgent need to build constituencies at the world level for increased solidarity, including in financial terms, between affluent and poor countries.
","( c ) There is an urgent need to build constituencies at the world level for increased solidarity , including in financial terms , between affluent and poor countries . ",singular,['constituency '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30","( c ) 迫切 需要 争取 世界 各国 人民 对于 增加 富国 对 贫国 的 援助 - - 包括 财政 援助 - - 的 支持 。
",term-23,cwmt,"(c) 迫切需要在全世界一级建立一个支持者群体,以加强富国和穷国之间的团结,包括财政方面的团结。","(c) 迫切需要在国际一级建立支持者队伍,加强富国和穷国之间的团结,包括金融方面的团结。",1
"Or could you take a trip to Tibet with only 500 yuan in your pocket? Can you imagine producing a short film on a budget of 3,000 yuan?
","Or could you take a trip to Tibet with only 500 yuan in your pocket ? Can you imagine producing a short film on a budget of 3,000 yuan ? ","Or could you take trips to Tibet with only 500 yuan in your pocket? Can you imagine producing a short film on a budget of 3,000 yuan?
","Or could you take trips to Tibet with only 500 yuan in your pocket ? Can you imagine producing a short film on a budget of 3,000 yuan ? ",singular,['trip '],MUTATED,"0-0,1-1,2-2,3-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29","你能在兜里只揣着500元钱就完成一趟西藏之旅吗？你能想象到只用3000元预算来制作完成一部短片吗？
",film-22,um,"或者你可以去西藏旅行,而你口袋里只有500块钱?你能想象在3000块钱的预算上制作一部短片吗?","或者你可以去西藏旅行,而你口袋里只有500块钱?你能想象在3000块钱的预算上制作一部短片吗?",-2
"Another case involved a group of paedophiles who had picked up young boys on 42nd Street by distributing flyers in 1986.
",Another case involved a group of paedophiles who had picked up young boys on 42nd Street by distributing flyers in 1986 . ,"Another case involved groups of paedophiles who had picked up young boys on 42nd Street by distributing flyers in 1986.
",Another case involved groups of paedophiles who had picked up young boys on 42nd Street by distributing flyers in 1986 . ,singular,['group '],MUTATED,"0-0,1-1,2-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21","另一个案例涉及一群恋童癖者，他们在1986年通过在42街上分发传单的方式寻找少年男孩。
",case-1,UNv1,"另一起案件涉及一群恋童癖者,他们于1986年在42街散发传单,带走了42街的男孩。","另一起案件涉及一群恋童癖者,他们在1986年散发传单,在42街接走男孩。",1
"Moreover, committees of creditors will have participated in determining the capital structure of the reorganized firm, seeking to create a structure that maximizes market value.
","Moreover , committees of creditors will have participated in determining the capital structure of the reorganized firm , seeking to create a structure that maximizes market value . ","Moreover, committees of creditors will have participated in determining the capital structure of the reorganized firm, seeking to create structures that maximizes market value.
","Moreover , committees of creditors will have participated in determining the capital structure of the reorganized firm , seeking to create structures that maximizes market value . ",singular,['structure '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27","简要概述了酿酒酵母细胞的葡萄糖信号传导途径的研究进展，总结了葡萄糖的抑制途径和诱导途径.
",capital-11,cwmt,"此外,债权人委员会将参与确定重组公司的资本结构,设法建立一个最大限度地扩大市场价值的结构。","此外,债权人委员会将参与确定重组公司的资本结构,设法建立尽可能扩大市场价值的结构。",1
"Some writers favour the date of presentation, while others support the date of the resolution of the claim.
","Some writers favour the date of presentation , while others support the date of the resolution of the claim . ","A writer favours the date of presentation, while others support the date of the resolution of the claim.
","A writer favours the date of presentation , while others support the date of the resolution of the claim . ",plural,['writers '],MUTATED,"1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20","一些作者主张采用递交要求日期， 而另一些作者则支持采用解决求偿要求日期。
",date-4,UNv1,"有些作者赞成提出日期,而另一些作者则支持解决索赔要求的日期。","作者赞成提出日期,而其他人则支持解决索赔要求的日期。",1
"In that regard, he presented a number of successful case studies from Nepal (Biogas Sector Partnership) and the Philippines (Alliance for Mindanao Off-grid Renewable Energy).
","In that regard , he presented a number of successful case studies from Nepal ( Biogas Sector Partnership ) and the Philippines ( Alliance for Mindanao Off - grid Renewable Energy ) . ","In that regard, he presented numbers of successful case studies from Nepal (Biogas Sector Partnership) and the Philippines (Alliance for Mindanao Off-grid Renewable Energy).
","In that regard , he presented numbers of successful case studies from Nepal ( Biogas Sector Partnership ) and the Philippines ( Alliance for Mindanao Off - grid Renewable Energy ) . ",singular,['number '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31,33-32","在这方面，他介绍了尼泊尔(沼气部门伙伴关系)和菲律宾(棉兰老离网可再生能源联盟)的成功案例。
",case-10,UNv1,"在这方面,他介绍了尼泊尔(沼气部门伙伴关系)和菲律宾(棉兰老离网可再生能源联盟)的一些成功案例研究。","在这方面,他介绍了尼泊尔(沼气部门伙伴关系)和菲律宾(棉兰老离网可再生能源联盟)的成功案例研究。",-4
"1.3 To date, UIAF has not signed a memorandum of understanding with its counterparts in other States.
","1.3 To date , UIAF has not signed a memorandum of understanding with its counterparts in other States . ","1.3 To date, UIAF has not signed memoranda of understanding with its counterparts in other States.
","1.3 To date , UIAF has not signed memoranda of understanding with its counterparts in other States . ",singular,['memorandum '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18","1.3 至今，金融情报分析组没有与其它国家的对口机构签署任何谅解备忘录。
",date-2,UNv1,"1.3 迄今为止,金融情报分析组尚未与其他国家的对应方签署谅解备忘录。","1.3 迄今为止,金融情报分析组尚未与其他国家的对应方签署谅解备忘录。",1
"It really means a lot to me and my family, Knowing that you Are taking a personal interest in the case.
","It really means a lot to me and my family , Knowing that you Are taking a personal interest in the case . ","It really means lots to me and my family, Knowing that you Are taking a personal interest in the case.
","It really means lots to me and my family , Knowing that you Are taking a personal interest in the case . ",singular,['lot '],MUTATED,"0-0,1-1,2-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22","我和我的家人得知，你个人对这个案子非常关心感到非常感谢。
",case-21,cwmt,这对我和我的家人来说真的很重要 知道你对这个案子很感兴趣,这对我和我的家人来说意义重大 知道你对这个案子很感兴趣,1
"- Yes, sir. Apparently, the hood on lookout had a triggerman who was his partner on the job.
","- Yes , sir . Apparently , the hood on lookout had a triggerman who was his partner on the job . ","- Yes, sir. Apparently, the hood on lookout had triggermans who was his partner on the job.
","- Yes , sir . Apparently , the hood on lookout had triggermans who was his partner on the job . ",singular,['triggerman '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21","显然，这个流氓有同伙一起作案
",hood-8,os18,"很明显,看门的兜帽男有个触发器 是他工作的搭档","很明显,看门的兜帽男有幕后操纵者",1
"An attacker could craft a malicious HTML file that when viewed would result in a crash and possible arbitrary code execution.
",An attacker could craft a malicious HTML file that when viewed would result in a crash and possible arbitrary code execution . ,"Attackers could craft a malicious HTML file that when viewed would result in a crash and possible arbitrary code execution.
",Attackers could craft a malicious HTML file that when viewed would result in a crash and possible arbitrary code execution . ,singular,['attacker '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21","攻击者可以定制恶意的 HTML 文件，查看相应文件时将导致崩溃，并可能导致任意代码执行。
",file-7,um,"攻击者可以编造一个恶意的 HTML 文件,当被看到后会导致坠机和可能的任意代号处决。","攻击者可以编造一个恶意的 HTML 文件,当观看时会导致坠机和可能的任意代码处决。",1
"This paper introduces a method to blast the soot coagulations by heat-insulated energy-concentrated charge.
",This paper introduces a method to blast the soot coagulations by heat - insulated energy - concentrated charge . ,"This paper introduces methods to blast the soot coagulations by heat-insulated energy-concentrated charge.
",This paper introduces methods to blast the soot coagulations by heat - insulated energy - concentrated charge . ,singular,['method '],MUTATED,"0-0,1-1,2-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18","文章介绍了利用聚能隔热药包爆破清除结焦的方法。
",charge-17,cwmt,本文介绍了用热绝热能量聚能充电来爆破烟尘凝聚的方法。,本文件介绍用热绝热能量聚能充电来爆破烟尘凝聚的方法。,1
":: On the assumption that the 2007 scale will also apply to 2008 and 2009, use a period of three years for the multi-year assessment.
",": : On the assumption that the 2007 scale will also apply to 2008 and 2009 , use a period of three years for the multi - year assessment . ",":: On the assumption that the 2007 scale will also apply to 2008 and 2009, use periods of three years for the multi-year assessment.
",": : On the assumption that the 2007 scale will also apply to 2008 and 2009 , use periods of three years for the multi - year assessment . ",singular,['period '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27,29-28,30-29","* 假定2007年的比额表也适用于2008年和2009年，以三年为限进行多年摊款。
",scale-8,UNv1,"* 假设2007年比额表也适用于2008年和2009年,则采用三年的多年期摊款期。","* 假定2007年比额表也将适用于2008年和2009年,采用三年的多年期摊款期。",1
"In his investor letter on Saturday, Buffett also mentioned a string of bolt-on deals driven by a bet on housing recovery.
","In his investor letter on Saturday , Buffett also mentioned a string of bolt - on deals driven by a bet on housing recovery . ","In his investor letter on Saturday, Buffett also mentioned strings of bolt-on deals driven by a bet on housing recovery.
","In his investor letter on Saturday , Buffett also mentioned strings of bolt - on deals driven by a bet on housing recovery . ",singular,['string '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24","在周六致股东的信件中,巴菲特还提及了一系列受房市复苏预期推动的交易.
",letter-3,um,Buffett在星期六的投资者信中也提到一连串由住房恢复赌注驱动的螺栓交易。,"Buffett在星期六的投资者信件中提到,",-4
"Where the board of directors of a company fails to implement them within the aforesaid term, the shareholders have the right to directly file a litigation with the people's court in their own names for the interests of the company.
","Where the board of directors of a company fails to implement them within the aforesaid term , the shareholders have the right to directly file a litigation with the people 's court in their own names for the interests of the company . ","Where the board of directors of a company fails to implement them within the aforesaid term, the shareholders have the right to directly file litigations with the people's court in their own names for the interests of the company.
","Where the board of directors of a company fails to implement them within the aforesaid term , the shareholders have the right to directly file litigations with the people 's court in their own names for the interests of the company . ",singular,['litigation '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,26-25,27-26,28-27,29-28,30-29,31-30,32-31,33-32,34-33,35-34,36-35,37-36,38-37,39-38,40-39,41-40,42-41,43-42","公司董事会未在上述期限内执行的，股东有权为了公司的利益以自己的名义直接向人民法院提起诉讼。
",board-2,cwmt,"如果公司董事会在上述期限内未能执行,股东有权为公司利益以自己的名义直接向人民法院提起诉讼。","如果公司董事会在上述期限内未能执行,股东有权为公司利益以自己的名义直接向人民法院提起诉讼。",1
"In the ensuing discussion, many representatives expressed appreciation for the work carried out to date and endorsed the submission of the recommendations to the Conference.
","In the ensuing discussion , many representatives expressed appreciation for the work carried out to date and endorsed the submission of the recommendations to the Conference . ","In the ensuing discussion, a representative expresseds appreciation for the work carried out to date and endorsed the submission of the recommendations to the Conference.
","In the ensuing discussion , a representative expresseds appreciation for the work carried out to date and endorsed the submission of the recommendations to the Conference . ",plural,['representatives '],MUTATED,"0-0,1-1,2-2,3-3,4-4,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-20,21-21,22-22,23-23,24-24,25-25,26-26,27-27","在随后的讨论中，许多代表表示赞赏迄今为止开展的工作，支持向化管大会提交建议。
",date-15,UNv1,"在随后的讨论中,许多代表对迄今开展的工作表示赞赏,并赞同向缔约国会议提交建议。","在随后的讨论中,一位代表对迄今为止开展的工作表示赞赏,并赞同向化管大会提交建议。",1
"A lot of groups release PROPERS just out of desperation due to losing the race.
",A lot of groups release PROPERS just out of desperation due to losing the race . ,"Lots of groups release PROPERS just out of desperation due to losing the race.
",Lots of groups release PROPERS just out of desperation due to losing the race . ,singular,['lot '],MUTATED,"1-0,2-1,3-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15","很多发布组织只不过因为输掉了发布比赛而发布PROPER。
",race-14,um,许多团体释放PROPERS 刚刚摆脱绝望 输掉比赛。,许多团体释放PROPERS 只是出于绝望 因为输掉比赛。,1
"This paper raised a method of pattern recognition, it can be used to the continuous speech recognition with reference, text understanding and data file analysis.
","This paper raised a method of pattern recognition , it can be used to the continuous speech recognition with reference , text understanding and data file analysis . ","This paper raised methods of pattern recognition, it can be used to the continuous speech recognition with reference, text understanding and data file analysis.
","This paper raised methods of pattern recognition , it can be used to the continuous speech recognition with reference , text understanding and data file analysis . ",singular,['method '],MUTATED,"0-0,1-1,2-2,4-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20,22-21,23-22,24-23,25-24,26-25,27-26,28-27","摘要比较电影研究的领域应该比跨国电影研究的范围更广.
",file-25,cwmt,"该文件提出了一种模式识别方法,可用于持续语音识别,并附有参考、文本理解和数据档案分析。","该文件提出了模式识别方法,可用于持续语音识别,并提供参考、文本理解和数据档案分析。",1
"In the midst of this spot stood a house, built with the bones of shipwrecked human beings.
","In the midst of this spot stood a house , built with the bones of shipwrecked human beings . ","In the midst of this spot stood houses, built with the bones of shipwrecked human beings.
","In the midst of this spot stood houses , built with the bones of shipwrecked human beings . ",singular,['house'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18","在这块地中央有一幢用死人的白骨砌成的房子。
",spot-5,cwmt,在这个地点中间 有一栋房子 由沉船者骨骸建造,"在这个地点中间,有房屋,是用沉船者的骨头建造的。",1
"Eastern did not provide a copy of the contract or the dates of performance.
",Eastern did not provide a copy of the contract or the dates of performance . ,"Eastern did not provide copies of the contract or the dates of performance.
",Eastern did not provide copies of the contract or the dates of performance . ,singular,['copy '],MUTATED,"0-0,1-1,2-2,3-3,5-4,6-5,7-6,8-7,9-8,10-9,11-10,12-11,13-12,14-13,15-14","249. 东方没有提供合同的副本或执行的日期。
",date-11,UNv1,东方没有提供合同副本或履约日期。,东方没有提供合同副本或履约日期。,1
"To this end, the background note included in annex a compilation of relevant international standards and best practices.
","To this end , the background note included in annex a compilation of relevant international standards and best practices . ","To this end, the background note included in annex compilations of relevant international standards and best practices.
","To this end , the background note included in annex compilations of relevant international standards and best practices . ",singular,['compilation '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,11-10,12-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19","为此，背景说明中在附录中对有关的国际标准和最好的做法进行了汇编。
",note-6,UNv1,"为此,附件中所载的背景说明汇编了相关的国际标准和最佳做法。","为此,附件载有相关国际标准和最佳做法汇编的背景说明。",-4
"Yet the terms of studies are extended in order to give students a chance to grow and develop other ways.
",Yet the terms of studies are extended in order to give students a chance to grow and develop other ways . ,"Yet the terms of studies are extended in order to give students chances to grow and develop other ways.
",Yet the terms of studies are extended in order to give students chances to grow and develop other ways . ,singular,['chance '],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,13-12,14-13,15-14,16-15,17-16,18-17,19-18,20-19,21-20","YTG岩土固结剂在地基处理中的应用
",term-2,cwmt,"然而,为了给学生一个成长和发展其他方式的机会,延长了学习期限。","然而,为了让学生有机会成长和发展其他方式,延长了学习期限。",1
